# source: GeoNames gazetteer, Iran (IR) — administrative divisions, admin level 1 (province) and 2 (county / shahrestan)
# url: https://download.geonames.org/export/dump/IR.zip
# sha256: a508c1962f00e637217e42b114d9dec1187abe6db73a9db56731f60dc0d9541f
# altnames-source: GeoNames alternate names, Iran (IR) — fa/ps/ckb/az/uz/ms/tg/ne/ta names by geonameid, plus kmr from the Latin-script (Hawar-alphabet) half of the generic `ku` tag (DT-020; prs checked and not usable, see this file's generator docstring)
# altnames-url: https://download.geonames.org/export/dump/alternatenames/IR.zip
# altnames-sha256: 52a2f2c70206baa69bc3c9fc65c0426751affb501d3042ff384c9fa20ee19b8e
# retrieved: 2026-09-25
# licence: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/ (GeoNames, https://www.geonames.org/about.html); config/license/allowed-licenses.json dataLicenses, ADR-0039
# generator: tools/geodata/geonames_iran_divisions.py
# notes: no district (admin level 3 / bakhsh) rows — GeoNames' Iran admin3 coverage is 7 records, far short of the real count (docs/DATA_TODO.md DT-021); a division with no published alternate name in a language has an empty field for it; coverage per language (of 466 divisions): fa=463, ps=31, ckb=30, az=32, uz=31, ms=31, tg=32, ne=1, ta=30, kmr=31
# columns: code,level,parentCode,en,latitude,longitude,fa,ps,ckb,az,uz,ms,tg,ne,ta,kmr
16	PROVINCE		Kurdistan Province	35.66667	47.00000	کردستان	کردستان ولايت	پارێزگای کوردستان	Kürdüstan ostanı	Kurdiston ustoni	Kurdistan	Устони Курдистон		குர்டிஸ்டான் மாகாணம்	Parêzgeha Kurdistan
23	PROVINCE		Lorestan Province	33.50000	48.50000	لرستان	لرستان ولایت	پارێزگای لوڕستان	Luristan ostanı	Luriston	Lorestan	Устони Луристон		லொரெஸ்டன் மாகாணம்	Luristan
34	PROVINCE		Markazi Province	34.33333	49.83333	مرکزی	مرکزي	پارێزگای مەرکەزی	Mərkəzi ostanı	Markaziy ustoni	Markazi	Устони Марказӣ		மார்கசி மாகாணம்	Merkezî
35	PROVINCE		Mazandaran Province	36.25000	52.33333	مازَندَران	مازندارن	پارێزگای مازەندەران	Mazandaran ostanı	Mozandaron	Mazandaran	Устони Мозандарон		மாசாந்தரான் மாகாணம்	Mazenderan
43	PROVINCE		North Khorasan Province	37.50000	57.00000	خراسان شمالی	خوراسان، شمالي	پارێزگای خۆراسانی باکوور	Şimali Xorasan ostanı	Shimoliy Xuroson ustoni	Khorasan Utara	Устони Хуросони шимолӣ		வடக்கு க்ஹோரசன் மாகாணம்	Xorasana Bakur
38	PROVINCE		Qazvin Province	36.00000	49.75000	قزوین	قزوين ولايت	پارێزگای قەزوین	Qəzvin ostanı	Qazvin viloyati	Qazvin	Устони Қазвин		கஸ்வின் மாகாணம்	Qazwên
39	PROVINCE		Qom Province	34.75000	51.00000	قم	د قم ولايت	پارێزگای قوم	Qum ostanı	Qum ustoni	Qom	Устони Қум		கொம் மாகாணம்	Qûm
42	PROVINCE		Razavi Khorasan Province	35.25000	59.00000	خراسان رضوی	د رضوي خراسان ولايت	پارێزگای خۆراسانی ڕەزەوی	Rəzəvi Xorasan ostanı	Razaviy Xuroson ustoni	Razavi Khorasan	устони Хуросони Разавӣ		ராசாவி க்ஹோரசன் மாகாணம்	Xorasana Rezewî
25	PROVINCE		Semnan Province	35.50000	55.00000	سمنان	سمنان ولايت	پارێزگای سمنان	Simnan ostanı	Semnan	Wilayah Semnan	Устони Симнон		செம்னன் மாகாணம்	Simnan
04	PROVINCE		Sistan and Baluchestan Province	28.50000	60.50000	سیستان و بلوچستان	د سيستان او بلوچستان ولايت	پارێزگای سیستان و بەلۆچستان	Sistan və Bəlucistan ostanı	Siston va Balujiston ustoni	Sistan dan Baluchestan	Устони Сестону Балӯчистон		சிச்தான் மற்றும் பலுசிஸ்த்தான் மாகாணம்	Sîstan û Belûçistan
41	PROVINCE		South Khorasan Province	32.50000	59.50000	خراسان جنوبی	د سهېلي خراسان ولايت	پارێزگای خۆراسانی باشوور	Cənubi Xorasan ostanı	Janubiy Xuroson ustoni	Khorasan Selatan	Устони Хуросони ҷанубӣ		தெற்கு கஹோரசன் மாகாணம்	Xorasana Başûr
26	PROVINCE		Tehran Province	35.66667	51.41667	استان تهران	تهران ولايت	پارێزگای تاران	Tehran ostanı	Tehron ustoni	Teheran	Устони Теҳрон		தெஹ்ரான் மாகாணம்	Tehran
01	PROVINCE		West Azerbaijan Province	37.66667	45.00000	آذَربايجان غَربی	مغربي ازربايجان	پارێزگای ئازەربایجانی ڕۆژاوا	Qərbi Azərbaycan ostanı	Gʻarbiy Ozarbayjon ustoni	Azarbaijan Barat	Устони Озарбойчони ғарбӣ		மேற்கு அசார்பைஜான் மாகாணம்	Azerbaycana Rojava
40	PROVINCE		Yazd Province	32.50000	55.58333	یزد	د یزد ولایت	پارێزگای یەزد	Yəzd ostanı	Yazd viloyati	Yazd	Устони Язд		யாசுது மாகாணம்	Yezd
36	PROVINCE		Zanjan Province	36.50000	48.33333	استان زنجان	زنجان ولايت	پارێزگای زەنگان	Zəncan ostanı	Zanjon ustoni	Zanjan	Устони Занҷон		சஞ்சன் மாகாணம்	Zengan
9517620	COUNTY	01	Chāypāreh	38.88254	44.99670	چايپاره									
449450	COUNTY	01	Khowy	38.60277	44.76975	شهرستان خوی									
449457	COUNTY	01	Naqadeh	36.97491	45.44941	شهرستان نقده									
9517621	COUNTY	01	Poldasht	39.18333	45.08333	شهرستان پلدشت									
449451	COUNTY	01	Sardasht	36.22899	45.46173	شهرستان سردشت									
449446	COUNTY	01	Shahrestān-e Būkān	36.60002	46.16664	شهرستان بوكان									
449449	COUNTY	01	Shahrestān-e Chāldorān	39.02370	44.41259	شهرستان چالدران									
449455	COUNTY	01	Shahrestān-e Mahābād	36.67233	45.73465	شهرستان مهاباد									
449454	COUNTY	01	Shahrestān-e Mākū	39.45575	44.59639	شهرستان ماكو									
449456	COUNTY	01	Shahrestān-e Mīāndoāb	36.89999	46.20002	شهرستان مياندوآب									
449444	COUNTY	01	Shahrestān-e Orūmīyeh	37.61499	44.93110	شهرستان اروميه									
449445	COUNTY	01	Shahrestān-e Oshnavīyeh	37.06870	45.07066	شهرستان اشنويه									
449447	COUNTY	01	Shahrestān-e Pīrānshahr	36.70000	45.16667	شهرستان پيرانشهر									
449452	COUNTY	01	Shahrestān-e Salmās	38.13804	44.64400	شهرستان سلماس									
449453	COUNTY	01	Shahrestān-e Shāhīn Dezh	36.67230	46.63695	شهرستان شاهين دژ									
449448	COUNTY	01	Shahrestān-e Takāb	36.51629	47.12272	شهرستان تكاب									
9517619	COUNTY	01	Showţ	39.15006	44.83346	شهرستان شوط									
449517	COUNTY	03	Ardal	31.95949	50.31029	شهرستان اردل									
11963425	COUNTY	03	Ben	32.53556	50.75201	شهرستان بن									
11963426	COUNTY	03	Saman	32.44980	50.91379	شهرستان سامان									
449519	COUNTY	03	Shahrekord	32.33544	50.75836	شهرستان شهركرد									
449518	COUNTY	03	Shahrestān-e Borūjen	31.89647	51.17299	شهرستان بروجن									
449520	COUNTY	03	Shahrestān-e Fārsān	32.22396	50.56592	شهرستان فارسان									
9519976	COUNTY	03	Shahrestān-e Kīār	32.00000	50.76667	شهرستان کيار									
449521	COUNTY	03	Shahrestān-e Kūhrang	32.41455	50.04152	شهرستان كوهرنگ									
449522	COUNTY	03	Shahrestān-e Lordegān	31.46299	50.88549	شهرستان لردگان									
11963562	COUNTY	04	Fanuj	26.57468	59.63856	شهرستان فنوج									
11963518	COUNTY	04	Hamoon	30.93686	61.33687	شهرستان هامون									
13452432	COUNTY	04	Hāmūn	30.50784	61.10974	شهرستان هامون									
11963514	COUNTY	04	Mirjaveh	29.01752	61.45046	شهرستان میرجاوه									
11963516	COUNTY	04	Nimruz	31.10333	61.41601	شهرستان نیمروز									
11963510	COUNTY	04	Qaser-e Qand	26.22693	60.74553										
1482480	COUNTY	04	Shahrestān-e Chābahār	25.44691	61.21075	شهرستان چابهار									
9533580	COUNTY	04	Shahrestān-e Dalgān	27.40340	59.33036	شهرستان دلگان									
9533575	COUNTY	04	Shahrestān-e Hīrmand	31.20420	61.66805	شهرستان هيرمند									
1482481	COUNTY	04	Shahrestān-e Khāsh	28.19339	60.76157	شهرستان خاش									
9533581	COUNTY	04	Shahrestān-e Konārak	25.55123	59.88437	شهرستان کنارک									
9533590	COUNTY	04	Shahrestān-e Mehrestān	27.02592	61.58705	شهرستان مهرستان									
1482504	COUNTY	04	Shahrestān-e Nīkshahr	26.25000	60.00000	شهرستان نيکشهر									
13452433	COUNTY	04	Shahrestān-e Nīmrūz	30.99869	60.78461	نیمروز									
12543582	COUNTY	04	Shahrestān-e Qaşr-e Qand	26.06270	60.76665	شهرستان قصر قند									
1482499	COUNTY	04	Shahrestān-e Sarbāz	26.46901	61.45081	شهرستان سرباز									
1482494	COUNTY	04	Shahrestān-e Sarāvān	27.39244	62.50642	شهرستان سراوان									
9533591	COUNTY	04	Shahrestān-e Sīb va Sūrān	27.33333	61.91667	شهرستان سيب و سوران									
1482483	COUNTY	04	Shahrestān-e Zābol	31.04741	61.56620	شهرستان زابل									
1482486	COUNTY	04	Shahrestān-e Zāhedān	29.62217	60.16915	شهرستان زاهدان									
1158999	COUNTY	04	Shahrestān-e Īrānshahr	27.76803	60.03354	شهرستان ايرانشهر									
9533574	COUNTY	04	Zehak	30.83835	61.63663	شهرستان زهک									
11963520	COUNTY	05	Landeh	30.97994	50.42469	شهرستان لنده									
9532946	COUNTY	05	Shahrestān-e Bahma’ī	31.05000	50.08333	شهرستان بهمئی									
449634	COUNTY	05	Shahrestān-e Bowyer Aḩmad	30.87500	51.13333	شهرستان بوير احمد									
9532948	COUNTY	05	Shahrestān-e Bāsht	30.46004	51.07451	شهرستان باشت									
9532947	COUNTY	05	Shahrestān-e Charām	30.77111	50.87050	شهرستان چرام									
449635	COUNTY	05	Shahrestān-e Danā	31.02933	51.25000	شهرستان دنا									
449637	COUNTY	05	Shahrestān-e Gachsārān	30.30000	50.73333	شهرستان گچساران									
449636	COUNTY	05	Shahrestān-e Kohgīlūyeh	31.05500	50.59900	شهرستان كهگيلويه									
449578	COUNTY	07	Jahrom	28.70331	53.34569	شهرستان جهرم									
9520870	COUNTY	07	Khonj	27.94047	53.06737	شهرستان خنج									
125034	COUNTY	07	Mamasanī	30.03333	51.38333	شهرستان ممسنی									
